day = 2, month = 3, year = 1850, weekday = Saturday
day = 15, month = 6, year = 1850, weekday = Saturday
day = 27, month = 12, year = 1850, weekday = Friday
day = 19, month = 6, year = 1851, weekday = Thursday
day = 11, month = 1, year = 1852, weekday = Sunday
day = 7, month = 3, year = 1852, weekday = Sunday
day = 6, month = 8, year = 1852, weekday = Friday
day = 29, month = 10, year = 1852, weekday = Friday
day = 28, month = 3, year = 1853, weekday = Monday
day = 19, month = 8, year = 1853, weekday = Friday
day = 16, month = 10, year = 1853, weekday = Sunday
day = 28, month = 2, year = 1854, weekday = Tuesday
day = 19, month = 7, year = 1854, weekday = Wednesday
day = 22, month = 10, year = 1854, weekday = Sunday
day = 20, month = 1, year = 1855, weekday = Saturday
day = 12, month = 6, year = 1855, weekday = Tuesday
day = 6, month = 11, year = 1855, weekday = Tuesday
day = 31, month = 1, year = 1856, weekday = Thursday
day = 17, month = 5, year = 1856, weekday = Saturday
day = 2, month = 10, year = 1856, weekday = Thursday
day = 1, month = 11, year = 1857, weekday = Sunday
day = 25, month = 3, year = 1858, weekday = Thursday
day = 4, month = 8, year = 1858, weekday = Wednesday
day = 11, month = 10, year = 1858, weekday = Monday
day = 29, month = 1, year = 1859, weekday = Saturday
day = 14, month = 7, year = 1859, weekday = Thursday
day = 22, month = 1, year = 1860, weekday = Sunday
day = 17, month = 7, year = 1860, weekday = Tuesday
day = 24, month = 9, year = 1860, weekday = Monday
day = 4, month = 5, year = 1861, weekday = Saturday
day = 7, month = 7, year = 1861, weekday = Sunday
day = 20, month = 12, year = 1861, weekday = Friday
day = 3, month = 7, year = 1862, weekday = Thursday
day = 12, month = 12, year = 1862, weekday = Friday
day = 4, month = 8, year = 1863, weekday = Tuesday
day = 28, month = 10, year = 1863, weekday = Wednesday
day = 21, month = 2, year = 1864, weekday = Sunday
day = 7, month = 6, year = 1864, weekday = Tuesday
day = 1, month = 9, year = 1864, weekday = Thursday
day = 18, month = 11, year = 1864, weekday = Friday
day = 19, month = 3, year = 1865, weekday = Sunday
day = 21, month = 5, year = 1865, weekday = Sunday
day = 7, month = 9, year = 1865, weekday = Thursday
day = 31, month = 1, year = 1866, weekday = Wednesday
day = 14, month = 6, year = 1866, weekday = Thursday
day = 11, month = 9, year = 1866, weekday = Tuesday
day = 8, month = 2, year = 1867, weekday = Friday
day = 1, month = 8, year = 1867, weekday = Thursday
day = 12, month = 1, year = 1868, weekday = Sunday
day = 5, month = 6, year = 1868, weekday = Friday
day = 3, month = 10, year = 1868, weekday = Saturday
day = 15, month = 3, year = 1869, weekday = Monday
day = 16, month = 6, year = 1869, weekday = Wednesday
day = 7, month = 11, year = 1869, weekday = Sunday
day = 21, month = 2, year = 1870, weekday = Monday
day = 8, month = 3, year = 1871, weekday = Wednesday
day = 19, month = 1, year = 1872, weekday = Friday
day = 26, month = 6, year = 1872, weekday = Wednesday
day = 2, month = 11, year = 1872, weekday = Saturday
day = 15, month = 3, year = 1873, weekday = Saturday
day = 11, month = 5, year = 1873, weekday = Sunday
day = 11, month = 8, year = 1873, weekday = Monday
day = 16, month = 11, year = 1873, weekday = Sunday
day = 4, month = 5, year = 1874, weekday = Monday
day = 12, month = 9, year = 1874, weekday = Saturday
day = 20, month = 6, year = 1875, weekday = Sunday
day = 10, month = 2, year = 1876, weekday = Thursday
day = 20, month = 4, year = 1876, weekday = Thursday
day = 22, month = 8, year = 1876, weekday = Tuesday
day = 9, month = 1, year = 1877, weekday = Tuesday
day = 27, month = 5, year = 1877, weekday = Sunday
day = 18, month = 9, year = 1877, weekday = Tuesday
day = 20, month = 2, year = 1878, weekday = Wednesday
day = 31, month = 7, year = 1878, weekday = Wednesday
day = 8, month = 10, year = 1878, weekday = Tuesday
day = 4, month = 5, year = 1879, weekday = Sunday
day = 17, month = 10, year = 1879, weekday = Friday
day = 27, month = 5, year = 1880, weekday = Thursday
day = 11, month = 5, year = 1881, weekday = Wednesday
day = 13, month = 3, year = 1882, weekday = Monday
day = 28, month = 4, year = 1882, weekday = Friday
day = 20, month = 9, year = 1882, weekday = Wednesday
day = 1, month = 12, year = 1882, weekday = Friday
day = 14, month = 5, year = 1883, weekday = Monday
day = 6, month = 8, year = 1883, weekday = Monday
day = 16, month = 12, year = 1883, weekday = Sunday
day = 6, month = 3, year = 1884, weekday = Thursday
day = 2, month = 5, year = 1884, weekday = Friday
day = 19, month = 9, year = 1884, weekday = Friday
day = 26, month = 11, year = 1884, weekday = Wednesday
day = 27, month = 3, year = 1885, weekday = Friday
day = 29, month = 10, year = 1885, weekday = Thursday
day = 21, month = 7, year = 1886, weekday = Wednesday
day = 14, month = 9, year = 1886, weekday = Tuesday
day = 5, month = 1, year = 1887, weekday = Wednesday
day = 26, month = 5, year = 1887, weekday = Thursday
day = 23, month = 7, year = 1887, weekday = Saturday
day = 20, month = 10, year = 1887, weekday = Thursday
day = 3, month = 3, year = 1888, weekday = Saturday
day = 30, month = 6, year = 1888, weekday = Saturday
day = 14, month = 11, year = 1888, weekday = Wednesday
day = 12, month = 5, year = 1889, weekday = Sunday
day = 22, month = 8, year = 1889, weekday = Thursday
day = 17, month = 1, year = 1890, weekday = Friday
day = 22, month = 3, year = 1890, weekday = Saturday
day = 29, month = 8, year = 1890, weekday = Friday
day = 28, month = 4, year = 1891, weekday = Tuesday
day = 6, month = 8, year = 1891, weekday = Thursday
day = 3, month = 10, year = 1891, weekday = Saturday
day = 7, month = 3, year = 1892, weekday = Monday
